Mobile_Device,Rating,sentiment_label,sentiment_score,positive_probability,neutral_probability,negative_probability,rating_norm,satisfaction_score,score_agreement,review_len,Date,Additional_Information
Google Pixel 10 Pro,4,positive,0.913,0.8515,0.123,0.0255,0.75,83.99,1,136,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9944,0.9913,0.0062,0.0025,1.0,99.99,1,96,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,2,negative,0.085,0.0203,0.1293,0.8503,0.25,14.76,1,861,4 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9943,0.9911,0.0064,0.0025,1.0,99.99,1,73,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9721,0.9518,0.0406,0.0076,1.0,98.75,1,6704,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,4,positive,0.9048,0.8161,0.1776,0.0064,0.75,83.53,1,4033,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,4,positive,0.9409,0.8951,0.0917,0.0133,0.75,85.55,1,5380,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,5,positive,0.989,0.9816,0.0148,0.0036,1.0,99.69,1,2471,7 months ago,Tech Insider Network Member | Top 1000 Contributor
Google Pixel 10 Pro,5,positive,0.9619,0.9278,0.0682,0.004,1.0,98.18,1,6099,7 months ago,Tech Insider Network Member | Top 1000 Contributor
Google Pixel 10 Pro,4,positive,0.9272,0.8602,0.1339,0.0059,0.75,84.79,1,2975,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,1,negative,0.0428,0.0081,0.0694,0.9224,0.0,0.95,1,87,2 weeks ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9342,0.8878,0.0929,0.0193,1.0,96.63,1,2319,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.991,0.9862,0.0096,0.0041,1.0,99.8,1,485,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9748,0.9552,0.0392,0.0056,1.0,98.9,1,4038,7 months ago,Tech Insider Network Member | Top 50 Contributor
Google Pixel 10 Pro,5,positive,0.9892,0.9827,0.0129,0.0043,1.0,99.7,1,538,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,4,negative,0.2705,0.0488,0.4434,0.5078,0.75,48.03,0,6549,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,5,positive,0.9836,0.9704,0.0265,0.0031,1.0,99.39,1,313,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,4,positive,0.9493,0.9032,0.0921,0.0047,0.75,86.02,1,4355,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,4,positive,0.9555,0.9259,0.0593,0.0148,0.75,86.37,1,3360,7 months ago,Tech Insider Network Member
Google Pixel 10 Pro,5,positive,0.9926,0.9882,0.0088,0.003,1.0,99.89,1,423,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9846,0.9755,0.0182,0.0063,1.0,99.45,1,400,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9548,0.9252,0.0591,0.0156,1.0,97.78,1,559,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9931,0.9897,0.0067,0.0036,1.0,99.92,1,219,1 month ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9929,0.9887,0.0084,0.0029,1.0,99.91,1,554,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9821,0.9706,0.0231,0.0063,1.0,99.31,1,534,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9291,0.8903,0.0777,0.0321,1.0,96.34,1,712,2 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9915,0.9872,0.0086,0.0042,1.0,99.83,1,140,3 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9831,0.9728,0.0206,0.0067,1.0,99.36,1,196,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9899,0.9838,0.0122,0.004,1.0,99.74,1,183,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9895,0.984,0.011,0.005,1.0,99.72,1,414,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.99,0.984,0.0119,0.004,1.0,99.75,1,311,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,4,positive,0.9894,0.9823,0.0144,0.0034,0.75,88.27,1,301,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9817,0.9665,0.0306,0.003,1.0,99.28,1,850,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9618,0.9291,0.0653,0.0056,1.0,98.17,1,1552,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.8272,0.7583,0.1378,0.1039,1.0,90.64,1,293,2 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9903,0.9855,0.0096,0.0049,1.0,99.76,1,403,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9894,0.982,0.0146,0.0033,1.0,99.71,1,599,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9908,0.9849,0.0117,0.0034,1.0,99.79,1,307,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9402,0.8905,0.0994,0.0101,1.0,96.96,1,266,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.991,0.9847,0.0125,0.0028,1.0,99.8,1,490,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,4,negative,0.4055,0.2208,0.3693,0.4099,0.75,55.59,0,2098,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9926,0.988,0.0092,0.0029,1.0,99.89,1,81,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9837,0.971,0.0254,0.0036,1.0,99.4,1,1255,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9926,0.9883,0.0086,0.0031,1.0,99.89,1,232,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9895,0.9827,0.0135,0.0038,1.0,99.72,1,167,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9894,0.9826,0.0136,0.0038,1.0,99.71,1,195,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9829,0.9753,0.0153,0.0095,1.0,99.35,1,263,6 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
Google Pixel 10 Pro,5,positive,0.9874,0.9788,0.0172,0.004,1.0,99.6,1,74,1 month ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9842,0.9745,0.0195,0.006,1.0,99.42,1,244,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9893,0.9824,0.0138,0.0039,1.0,99.71,1,256,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9933,0.9898,0.0069,0.0033,1.0,99.93,1,79,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9939,0.9902,0.0075,0.0024,1.0,99.97,1,245,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9907,0.9863,0.0089,0.0049,1.0,99.79,1,257,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9898,0.9841,0.0115,0.0044,1.0,99.74,1,193,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9898,0.9834,0.0128,0.0038,1.0,99.74,1,224,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9919,0.9858,0.0121,0.002,1.0,99.85,1,62,2 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
Google Pixel 10 Pro,5,positive,0.9865,0.9785,0.0161,0.0055,1.0,99.55,1,347,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9909,0.9851,0.0116,0.0033,1.0,99.8,1,64,2 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9904,0.9852,0.0104,0.0043,1.0,99.77,1,108,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9904,0.9858,0.0092,0.005,1.0,99.77,1,69,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9771,0.9643,0.0256,0.0102,1.0,99.03,1,202,7 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
Google Pixel 10 Pro,5,positive,0.9874,0.9802,0.0143,0.0055,1.0,99.6,1,433,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9853,0.977,0.0166,0.0064,1.0,99.49,1,110,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9925,0.9881,0.0087,0.0032,1.0,99.89,1,89,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9918,0.9875,0.0085,0.004,1.0,99.85,1,485,4 days ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9878,0.98,0.0157,0.0043,1.0,99.63,1,51,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9882,0.9812,0.014,0.0048,1.0,99.65,1,178,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9915,0.9858,0.0114,0.0028,1.0,99.83,1,54,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9868,0.9792,0.0152,0.0055,1.0,99.57,1,569,6 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.993,0.9896,0.0067,0.0037,1.0,99.92,1,70,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9901,0.9836,0.013,0.0034,1.0,99.75,1,265,2 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9819,0.9691,0.0256,0.0053,1.0,99.29,1,561,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.992,0.9883,0.0074,0.0043,1.0,99.86,1,83,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9881,0.9814,0.0135,0.0051,1.0,99.64,1,52,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9688,0.9461,0.0455,0.0085,1.0,98.56,1,178,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9819,0.9709,0.022,0.0071,1.0,99.29,1,83,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,4,positive,0.986,0.9766,0.0189,0.0045,0.75,88.08,1,280,1 month ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,3,negative,0.1362,0.0463,0.1798,0.7739,0.5,29.07,1,1231,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9868,0.9796,0.0145,0.0059,1.0,99.57,1,86,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9932,0.9886,0.0092,0.0022,1.0,99.93,1,125,7 months ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9719,0.9475,0.0488,0.0037,1.0,98.74,1,167,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9918,0.9876,0.0085,0.0039,1.0,99.85,1,69,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.991,0.9843,0.0134,0.0023,1.0,99.8,1,96,,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,4,negative,0.1446,0.0233,0.2424,0.7342,0.75,40.99,0,682,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9813,0.9704,0.0218,0.0078,1.0,99.26,1,116,1 month ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.968,0.9478,0.0403,0.0118,1.0,98.52,1,160,2 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.99,0.984,0.0121,0.004,1.0,99.75,1,218,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.987,0.9803,0.0134,0.0063,1.0,99.58,1,328,2 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9918,0.9869,0.0098,0.0033,1.0,99.85,1,238,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9861,0.9793,0.0136,0.0071,1.0,99.53,1,183,3 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9914,0.9858,0.0112,0.0031,1.0,99.83,1,110,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9919,0.9869,0.0099,0.0032,1.0,99.85,1,66,7 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9902,0.9844,0.0116,0.0041,1.0,99.76,1,242,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9898,0.9844,0.0107,0.0049,1.0,99.74,1,50,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9874,0.9785,0.0179,0.0037,1.0,99.6,1,302,6 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,4,positive,0.9863,0.9781,0.0164,0.0055,0.75,88.09,1,489,2 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9896,0.9811,0.017,0.0018,1.0,99.73,1,154,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,4,positive,0.983,0.9714,0.0231,0.0055,0.75,87.91,1,80,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9879,0.9821,0.0117,0.0062,1.0,99.63,1,94,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9925,0.9893,0.0064,0.0043,1.0,99.89,1,168,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9903,0.9849,0.0108,0.0043,1.0,99.76,1,183,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9879,0.98,0.0159,0.0041,1.0,99.63,1,240,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,4,positive,0.9885,0.9799,0.0173,0.0028,0.75,88.22,1,56,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9929,0.9894,0.0069,0.0037,1.0,99.91,1,122,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.99,0.9842,0.0117,0.0041,1.0,99.75,1,134,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,4,positive,0.9598,0.9335,0.0527,0.0138,0.75,86.61,1,230,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.99,0.9841,0.0118,0.0041,1.0,99.75,1,155,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9896,0.9832,0.0128,0.004,1.0,99.73,1,127,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9835,0.9698,0.0272,0.0029,1.0,99.38,1,249,3 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9892,0.9847,0.0089,0.0064,1.0,99.7,1,106,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9901,0.9851,0.0101,0.0048,1.0,99.75,1,373,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9939,0.9903,0.0073,0.0024,1.0,99.97,1,65,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9905,0.9839,0.0131,0.0029,1.0,99.78,1,128,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9895,0.9835,0.012,0.0045,1.0,99.72,1,59,2 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9692,0.9448,0.0489,0.0063,1.0,98.58,1,143,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9797,0.9648,0.0297,0.0054,1.0,99.17,1,64,2 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
Google Pixel 10 Pro,5,positive,0.9837,0.9756,0.0161,0.0083,1.0,99.4,1,97,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9895,0.9822,0.0145,0.0033,1.0,99.72,1,176,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9904,0.985,0.0109,0.0041,1.0,99.77,1,193,1 week ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9895,0.9828,0.0133,0.0039,1.0,99.72,1,262,1 month ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9929,0.9887,0.0083,0.003,1.0,99.91,1,198,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.971,0.949,0.0439,0.007,1.0,98.68,1,296,1 month ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9881,0.9815,0.0134,0.0052,1.0,99.64,1,188,6 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9917,0.9863,0.0108,0.0029,1.0,99.84,1,135,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9933,0.99,0.0066,0.0034,1.0,99.93,1,60,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,4,positive,0.9814,0.9703,0.0224,0.0074,0.75,87.82,1,389,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9329,0.9034,0.059,0.0376,1.0,96.55,1,245,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9902,0.9852,0.01,0.0048,1.0,99.76,1,126,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9917,0.9869,0.0096,0.0035,1.0,99.84,1,112,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9897,0.9839,0.0115,0.0046,1.0,99.73,1,85,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9907,0.9847,0.0119,0.0034,1.0,99.79,1,75,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9834,0.9741,0.0187,0.0072,1.0,99.38,1,193,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9883,0.9799,0.017,0.0032,1.0,99.65,1,141,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.986,0.9765,0.0189,0.0046,1.0,99.52,1,73,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9905,0.9856,0.0098,0.0046,1.0,99.78,1,64,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9598,0.9262,0.0672,0.0066,1.0,98.06,1,90,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9821,0.9719,0.0203,0.0078,1.0,99.31,1,191,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9899,0.9837,0.0123,0.004,1.0,99.74,1,129,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9909,0.9864,0.0089,0.0047,1.0,99.8,1,65,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9867,0.979,0.0153,0.0057,1.0,99.56,1,62,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9852,0.9737,0.023,0.0034,1.0,99.48,1,82,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,4,neutral,0.5651,0.3112,0.5077,0.181,0.75,64.52,0,318,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.7064,0.5139,0.385,0.1011,1.0,83.88,1,186,1 month ago,Incentivized | Verified Purchaser | Owned for 2 months
Google Pixel 10 Pro,5,positive,0.9914,0.9871,0.0087,0.0042,1.0,99.83,1,93,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9798,0.9688,0.0221,0.0092,1.0,99.18,1,89,4 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9925,0.9889,0.0072,0.004,1.0,99.89,1,73,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9938,0.9906,0.0063,0.0031,1.0,99.96,1,52,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9941,0.9907,0.0068,0.0025,1.0,99.98,1,156,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.986,0.9762,0.0196,0.0042,1.0,99.52,1,175,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9943,0.9914,0.0059,0.0027,1.0,99.99,1,112,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9915,0.9867,0.0095,0.0037,1.0,99.83,1,78,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.991,0.9854,0.0112,0.0034,1.0,99.8,1,68,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9926,0.9883,0.0086,0.003,1.0,99.89,1,103,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9526,0.9228,0.0596,0.0176,1.0,97.66,1,168,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9877,0.982,0.0114,0.0066,1.0,99.62,1,79,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9899,0.9838,0.0122,0.004,1.0,99.74,1,57,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.7938,0.6667,0.2543,0.079,1.0,88.77,1,77,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9918,0.9862,0.0113,0.0025,1.0,99.85,1,75,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9922,0.9885,0.0075,0.004,1.0,99.87,1,65,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9884,0.9804,0.0161,0.0035,1.0,99.66,1,50,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.991,0.9862,0.0097,0.0041,1.0,99.8,1,56,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9935,0.9895,0.008,0.0025,1.0,99.94,1,55,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,4,negative,0.1912,0.1031,0.1762,0.7207,0.75,43.59,0,177,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9833,0.972,0.0224,0.0055,1.0,99.37,1,143,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9914,0.9859,0.011,0.0031,1.0,99.83,1,58,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9936,0.9899,0.0074,0.0027,1.0,99.95,1,50,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9807,0.9686,0.024,0.0073,1.0,99.23,1,137,3 weeks ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9885,0.9817,0.0136,0.0047,1.0,99.66,1,86,5 days ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9834,0.9746,0.0176,0.0079,1.0,99.38,1,55,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.8225,0.7445,0.1561,0.0995,1.0,90.37,1,67,6 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9882,0.9801,0.0163,0.0036,1.0,99.65,1,141,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9799,0.9634,0.0331,0.0036,1.0,99.18,1,48,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9653,0.9381,0.0545,0.0074,1.0,98.37,1,102,6 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9909,0.9851,0.0115,0.0033,1.0,99.8,1,102,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9837,0.9738,0.0199,0.0064,1.0,99.4,1,94,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.989,0.9813,0.0154,0.0033,1.0,99.69,1,109,2 weeks ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9909,0.9867,0.0084,0.0049,1.0,99.8,1,114,6 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9923,0.9892,0.0064,0.0045,1.0,99.88,1,65,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.989,0.9822,0.0136,0.0041,1.0,99.69,1,121,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9933,0.9893,0.008,0.0027,1.0,99.93,1,449,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9901,0.9855,0.0092,0.0053,1.0,99.75,1,54,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9915,0.9857,0.0117,0.0027,1.0,99.83,1,75,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
